user_id,graduate,master,other_degree,phd
0,Anadolu Üniversitesi,unkown,unkown,unkown
1,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
2,unkown,unkown,Fırat Üniversitesi,unkown
3,Fırat Üniversitesi,unkown,unkown,unkown
4,Fırat Üniversitesi,unkown,unkown,unkown
5,The State University of Applied Sciences in Elblag,Firat University,İzmit Anadolu İmam Hatip Lisesi,unkown
6,Fırat Üniversitesi,unkown,unkown,unkown
7,Firat University,unkown,unkown,unkown
8,Fırat Üniversitesi,unkown,unkown,unkown
9,Fırat Üniversitesi,unkown,unkown,unkown
10,Fırat Üniversitesi,unkown,unkown,unkown
11,Firat University,unkown,unkown,unkown
12,Fırat Üniversitesi,Ufuk Üniversitesi,unkown,unkown
13,Fırat Üniversitesi,unkown,unkown,unkown
14,Firat University,Adnan Menderes University,unkown,unkown
15,Fırat Üniversitesi,unkown,unkown,unkown
16,Fırat Üniversitesi,unkown,unkown,unkown
17,Firat University,unkown,unkown,unkown
18,Fırat Üniversitesi,unkown,unkown,unkown
19,Fırat Üniversitesi,unkown,unkown,unkown
20,Firat University,unkown,unkown,unkown
21,Fırat Üniversitesi,unkown,unkown,unkown
22,Fırat Üniversitesi,unkown,unkown,unkown
23,Fırat Üniversitesi,unkown,unkown,unkown
24,Fırat Üniversitesi,unkown,İnci Konukoğlu Anadolu Lisesi,unkown
25,Fırat Üniversitesi,unkown,unkown,unkown
26,Akdeniz Üniversitesi,unkown,unkown,unkown
27,Fırat Üniversitesi,unkown,unkown,unkown
28,Fırat Üniversitesi,unkown,unkown,unkown
29,Fırat Üniversitesi,unkown,unkown,unkown
30,Fırat Üniversitesi,unkown,unkown,unkown
31,Firat University,unkown,unkown,unkown
32,Firat University,unkown,unkown,unkown
33,unkown,unkown,Fırat University,unkown
34,Istanbul Technical University,Firat University,unkown,University of Houston
35,Fırat Üniversitesi,unkown,unkown,unkown
36,Fırat Üniversitesi,unkown,Samsun Ticaret Meslek Lisesi,unkown
37,Fırat Üniversitesi,unkown,unkown,unkown
38,Firat University,unkown,unkown,unkown
